levelname_1,levelname_2,levelname_3,levelname_4,levelname_5,levelcode_1,levelcode_2,levelcode_3,levelcode_4,levelcode_5
BLOOD AND BLOOD FORMING ORGANS,ANTITHROMBOTIC AGENTS,ANTITHROMBOTIC AGENTS,Vitamin K antagonists,dicoumarol,QB,QB01,QB01A,QB01AA,QB01AA01
BLOOD AND BLOOD FORMING ORGANS,ANTITHROMBOTIC AGENTS,ANTITHROMBOTIC AGENTS,Vitamin K antagonists,phenindione,QB,QB01,QB01A,QB01AA,QB01AA02
BLOOD AND BLOOD FORMING ORGANS,ANTITHROMBOTIC AGENTS,ANTITHROMBOTIC AGENTS,Vitamin K antagonists,warfarin,QB,QB01,QB01A,QB01AA,QB01AA03
BLOOD AND BLOOD FORMING ORGANS,ANTITHROMBOTIC AGENTS,ANTITHROMBOTIC AGENTS,Vitamin K antagonists,phenprocoumon,QB,QB01,QB01A,QB01AA,QB01AA04
BLOOD AND BLOOD FORMING ORGANS,ANTITHROMBOTIC AGENTS,ANTITHROMBOTIC AGENTS,Vitamin K antagonists,acenocoumarol,QB,QB01,QB01A,QB01AA,QB01AA07
BLOOD AND BLOOD FORMING ORGANS,ANTITHROMBOTIC AGENTS,ANTITHROMBOTIC AGENTS,Vitamin K antagonists,ethyl biscoumacetate,QB,QB01,QB01A,QB01AA,QB01AA08
BLOOD AND BLOOD FORMING ORGANS,ANTITHROMBOTIC AGENTS,ANTITHROMBOTIC AGENTS,Vitamin K antagonists,clorindione,QB,QB01,QB01A,QB01AA,QB01AA09
BLOOD AND BLOOD FORMING ORGANS,ANTITHROMBOTIC AGENTS,ANTITHROMBOTIC AGENTS,Vitamin K antagonists,diphenadione,QB,QB01,QB01A,QB01AA,QB01AA10
BLOOD AND BLOOD FORMING ORGANS,ANTITHROMBOTIC AGENTS,ANTITHROMBOTIC AGENTS,Vitamin K antagonists,tioclomarol,QB,QB01,QB01A,QB01AA,QB01AA11
BLOOD AND BLOOD FORMING ORGANS,ANTITHROMBOTIC AGENTS,ANTITHROMBOTIC AGENTS,Vitamin K antagonists,fluindione,QB,QB01,QB01A,QB01AA,QB01AA12
BLOOD AND BLOOD FORMING ORGANS,ANTITHROMBOTIC AGENTS,ANTITHROMBOTIC AGENTS,Heparin group,heparin,QB,QB01,QB01A,QB01AB,QB01AB01
BLOOD AND BLOOD FORMING ORGANS,ANTITHROMBOTIC AGENTS,ANTITHROMBOTIC AGENTS,Heparin group,antithrombin III,QB,QB01,QB01A,QB01AB,QB01AB02
BLOOD AND BLOOD FORMING ORGANS,ANTITHROMBOTIC AGENTS,ANTITHROMBOTIC AGENTS,Heparin group,dalteparin,QB,QB01,QB01A,QB01AB,QB01AB04
BLOOD AND BLOOD FORMING ORGANS,ANTITHROMBOTIC AGENTS,ANTITHROMBOTIC AGENTS,Heparin group,enoxaparin,QB,QB01,QB01A,QB01AB,QB01AB05
BLOOD AND BLOOD FORMING ORGANS,ANTITHROMBOTIC AGENTS,ANTITHROMBOTIC AGENTS,Heparin group,nadroparin,QB,QB01,QB01A,QB01AB,QB01AB06
BLOOD AND BLOOD FORMING ORGANS,ANTITHROMBOTIC AGENTS,ANTITHROMBOTIC AGENTS,Heparin group,parnaparin,QB,QB01,QB01A,QB01AB,QB01AB07
BLOOD AND BLOOD FORMING ORGANS,ANTITHROMBOTIC AGENTS,ANTITHROMBOTIC AGENTS,Heparin group,reviparin,QB,QB01,QB01A,QB01AB,QB01AB08
BLOOD AND BLOOD FORMING ORGANS,ANTITHROMBOTIC AGENTS,ANTITHROMBOTIC AGENTS,Heparin group,danaparoid,QB,QB01,QB01A,QB01AB,QB01AB09
BLOOD AND BLOOD FORMING ORGANS,ANTITHROMBOTIC AGENTS,ANTITHROMBOTIC AGENTS,Heparin group,tinzaparin,QB,QB01,QB01A,QB01AB,QB01AB10
BLOOD AND BLOOD FORMING ORGANS,ANTITHROMBOTIC AGENTS,ANTITHROMBOTIC AGENTS,Heparin group,sulodexide,QB,QB01,QB01A,QB01AB,QB01AB11
BLOOD AND BLOOD FORMING ORGANS,ANTITHROMBOTIC AGENTS,ANTITHROMBOTIC AGENTS,Heparin group,bemiparin,QB,QB01,QB01A,QB01AB,QB01AB12
BLOOD AND BLOOD FORMING ORGANS,ANTITHROMBOTIC AGENTS,ANTITHROMBOTIC AGENTS,Heparin group,"heparin, combinations",QB,QB01,QB01A,QB01AB,QB01AB51
BLOOD AND BLOOD FORMING ORGANS,ANTITHROMBOTIC AGENTS,ANTITHROMBOTIC AGENTS,"Platelet aggregation inhibitors, excl. heparin",ditazole,QB,QB01,QB01A,QB01AC,QB01AC01
BLOOD AND BLOOD FORMING ORGANS,ANTITHROMBOTIC AGENTS,ANTITHROMBOTIC AGENTS,"Platelet aggregation inhibitors, excl. heparin",cloricromen,QB,QB01,QB01A,QB01AC,QB01AC02
BLOOD AND BLOOD FORMING ORGANS,ANTITHROMBOTIC AGENTS,ANTITHROMBOTIC AGENTS,"Platelet aggregation inhibitors, excl. heparin",picotamide,QB,QB01,QB01A,QB01AC,QB01AC03
BLOOD AND BLOOD FORMING ORGANS,ANTITHROMBOTIC AGENTS,ANTITHROMBOTIC AGENTS,"Platelet aggregation inhibitors, excl. heparin",clopidogrel,QB,QB01,QB01A,QB01AC,QB01AC04
BLOOD AND BLOOD FORMING ORGANS,ANTITHROMBOTIC AGENTS,ANTITHROMBOTIC AGENTS,"Platelet aggregation inhibitors, excl. heparin",ticlopidine,QB,QB01,QB01A,QB01AC,QB01AC05
