levelname_1,levelname_2,levelname_3,levelname_4,levelname_5,levelcode_1,levelcode_2,levelcode_3,levelcode_4,levelcode_5
CARDIOVASCULAR SYSTEM,CARDIAC THERAPY,CARDIAC GLYCOSIDES,Digitalis glycosides,acetyldigitoxin,QC,QC01,QC01A,QC01AA,QC01AA01
CARDIOVASCULAR SYSTEM,CARDIAC THERAPY,CARDIAC GLYCOSIDES,Digitalis glycosides,acetyldigoxin,QC,QC01,QC01A,QC01AA,QC01AA02
CARDIOVASCULAR SYSTEM,CARDIAC THERAPY,CARDIAC GLYCOSIDES,Digitalis glycosides,digitalis leaves,QC,QC01,QC01A,QC01AA,QC01AA03
CARDIOVASCULAR SYSTEM,CARDIAC THERAPY,CARDIAC GLYCOSIDES,Digitalis glycosides,digitoxin,QC,QC01,QC01A,QC01AA,QC01AA04
CARDIOVASCULAR SYSTEM,CARDIAC THERAPY,CARDIAC GLYCOSIDES,Digitalis glycosides,digoxin,QC,QC01,QC01A,QC01AA,QC01AA05
CARDIOVASCULAR SYSTEM,CARDIAC THERAPY,CARDIAC GLYCOSIDES,Digitalis glycosides,lanatoside C,QC,QC01,QC01A,QC01AA,QC01AA06
CARDIOVASCULAR SYSTEM,CARDIAC THERAPY,CARDIAC GLYCOSIDES,Digitalis glycosides,deslanoside,QC,QC01,QC01A,QC01AA,QC01AA07
CARDIOVASCULAR SYSTEM,CARDIAC THERAPY,CARDIAC GLYCOSIDES,Digitalis glycosides,metildigoxin,QC,QC01,QC01A,QC01AA,QC01AA08
CARDIOVASCULAR SYSTEM,CARDIAC THERAPY,CARDIAC GLYCOSIDES,Digitalis glycosides,gitoformate,QC,QC01,QC01A,QC01AA,QC01AA09
CARDIOVASCULAR SYSTEM,CARDIAC THERAPY,CARDIAC GLYCOSIDES,Digitalis glycosides,"acetyldigoxin, combinations",QC,QC01,QC01A,QC01AA,QC01AA52
CARDIOVASCULAR SYSTEM,CARDIAC THERAPY,CARDIAC GLYCOSIDES,Scilla glycosides,proscillaridin,QC,QC01,QC01A,QC01AB,QC01AB01
CARDIOVASCULAR SYSTEM,CARDIAC THERAPY,CARDIAC GLYCOSIDES,Scilla glycosides,"proscillaridin, combinations",QC,QC01,QC01A,QC01AB,QC01AB51
CARDIOVASCULAR SYSTEM,CARDIAC THERAPY,CARDIAC GLYCOSIDES,Strophantus glycosides,g-strophanthin,QC,QC01,QC01A,QC01AC,QC01AC01
CARDIOVASCULAR SYSTEM,CARDIAC THERAPY,CARDIAC GLYCOSIDES,Strophantus glycosides,cymarin,QC,QC01,QC01A,QC01AC,QC01AC03
CARDIOVASCULAR SYSTEM,CARDIAC THERAPY,CARDIAC GLYCOSIDES,Other cardiac glycosides,peruvoside,QC,QC01,QC01A,QC01AX,QC01AX02
CARDIOVASCULAR SYSTEM,CARDIAC THERAPY,"ANTIARRYTHMICS, CLASS I AND III","Antiarrhythmics, class Ia",quinidine,QC,QC01,QC01B,QC01BA,QC01BA01
CARDIOVASCULAR SYSTEM,CARDIAC THERAPY,"ANTIARRYTHMICS, CLASS I AND III","Antiarrhythmics, class Ia",procainamide,QC,QC01,QC01B,QC01BA,QC01BA02
CARDIOVASCULAR SYSTEM,CARDIAC THERAPY,"ANTIARRYTHMICS, CLASS I AND III","Antiarrhythmics, class Ia",disopyramide,QC,QC01,QC01B,QC01BA,QC01BA03
CARDIOVASCULAR SYSTEM,CARDIAC THERAPY,"ANTIARRYTHMICS, CLASS I AND III","Antiarrhythmics, class Ia",sparteine,QC,QC01,QC01B,QC01BA,QC01BA04
CARDIOVASCULAR SYSTEM,CARDIAC THERAPY,"ANTIARRYTHMICS, CLASS I AND III","Antiarrhythmics, class Ia",ajmaline,QC,QC01,QC01B,QC01BA,QC01BA05
CARDIOVASCULAR SYSTEM,CARDIAC THERAPY,"ANTIARRYTHMICS, CLASS I AND III","Antiarrhythmics, class Ia",prajmaline,QC,QC01,QC01B,QC01BA,QC01BA08
CARDIOVASCULAR SYSTEM,CARDIAC THERAPY,"ANTIARRYTHMICS, CLASS I AND III","Antiarrhythmics, class Ia",lorajmine,QC,QC01,QC01B,QC01BA,QC01BA12
CARDIOVASCULAR SYSTEM,CARDIAC THERAPY,"ANTIARRYTHMICS, CLASS I AND III","Antiarrhythmics, class Ia",hydroquinidine,QC,QC01,QC01B,QC01BA,QC01BA13
CARDIOVASCULAR SYSTEM,CARDIAC THERAPY,"ANTIARRYTHMICS, CLASS I AND III","Antiarrhythmics, class Ia","quinidine, combinations excl. psycholeptics",QC,QC01,QC01B,QC01BA,QC01BA51
CARDIOVASCULAR SYSTEM,CARDIAC THERAPY,"ANTIARRYTHMICS, CLASS I AND III","Antiarrhythmics, class Ia","quinidine, combinations with psycholeptics",QC,QC01,QC01B,QC01BA,QC01BA71
CARDIOVASCULAR SYSTEM,CARDIAC THERAPY,"ANTIARRYTHMICS, CLASS I AND III","Antiarrhythmics, class Ib",lidocaine,QC,QC01,QC01B,QC01BB,QC01BB01
CARDIOVASCULAR SYSTEM,CARDIAC THERAPY,"ANTIARRYTHMICS, CLASS I AND III","Antiarrhythmics, class Ib",mexiletine,QC,QC01,QC01B,QC01BB,QC01BB02
CARDIOVASCULAR SYSTEM,CARDIAC THERAPY,"ANTIARRYTHMICS, CLASS I AND III","Antiarrhythmics, class Ib",tocainide,QC,QC01,QC01B,QC01BB,QC01BB03
CARDIOVASCULAR SYSTEM,CARDIAC THERAPY,"ANTIARRYTHMICS, CLASS I AND III","Antiarrhythmics, class Ib",aprindine,QC,QC01,QC01B,QC01BB,QC01BB04
CARDIOVASCULAR SYSTEM,CARDIAC THERAPY,"ANTIARRYTHMICS, CLASS I AND III","Antiarrhythmics, class Ic",propafenone,QC,QC01,QC01B,QC01BC,QC01BC03
CARDIOVASCULAR SYSTEM,CARDIAC THERAPY,"ANTIARRYTHMICS, CLASS I AND III","Antiarrhythmics, class Ic",flecainide,QC,QC01,QC01B,QC01BC,QC01BC04
CARDIOVASCULAR SYSTEM,CARDIAC THERAPY,"ANTIARRYTHMICS, CLASS I AND III","Antiarrhythmics, class Ic",lorcainide,QC,QC01,QC01B,QC01BC,QC01BC07
CARDIOVASCULAR SYSTEM,CARDIAC THERAPY,"ANTIARRYTHMICS, CLASS I AND III","Antiarrhythmics, class Ic",encainide,QC,QC01,QC01B,QC01BC,QC01BC08
CARDIOVASCULAR SYSTEM,CARDIAC THERAPY,"ANTIARRYTHMICS, CLASS I AND III","Antiarrhythmics, class Ic",ethacizine,QC,QC01,QC01B,QC01BC,QC01BC09
CARDIOVASCULAR SYSTEM,CARDIAC THERAPY,"ANTIARRYTHMICS, CLASS I AND III","Antiarrhythmics, class III",amiodarone,QC,QC01,QC01B,QC01BD,QC01BD01
CARDIOVASCULAR SYSTEM,CARDIAC THERAPY,"ANTIARRYTHMICS, CLASS I AND III","Antiarrhythmics, class III",bretylium tosilate,QC,QC01,QC01B,QC01BD,QC01BD02
CARDIOVASCULAR SYSTEM,CARDIAC THERAPY,"ANTIARRYTHMICS, CLASS I AND III","Antiarrhythmics, class III",bunaftine,QC,QC01,QC01B,QC01BD,QC01BD03
CARDIOVASCULAR SYSTEM,CARDIAC THERAPY,"ANTIARRYTHMICS, CLASS I AND III","Antiarrhythmics, class III",dofetilide,QC,QC01,QC01B,QC01BD,QC01BD04
CARDIOVASCULAR SYSTEM,CARDIAC THERAPY,"ANTIARRYTHMICS, CLASS I AND III","Antiarrhythmics, class III",ibutilide,QC,QC01,QC01B,QC01BD,QC01BD05
CARDIOVASCULAR SYSTEM,CARDIAC THERAPY,"ANTIARRYTHMICS, CLASS I AND III","Antiarrhythmics, class III",dronedarone,QC,QC01,QC01B,QC01BD,QC01BD07
CARDIOVASCULAR SYSTEM,CARDIAC THERAPY,"ANTIARRYTHMICS, CLASS I AND III","Other antiarrhythmics, class I and III",moracizine,QC,QC01,QC01B,QC01BG,QC01BG01
CARDIOVASCULAR SYSTEM,CARDIAC THERAPY,"ANTIARRYTHMICS, CLASS I AND III","Other antiarrhythmics, class I and III",cibenzoline,QC,QC01,QC01B,QC01BG,QC01BG07
CARDIOVASCULAR SYSTEM,CARDIAC THERAPY,"ANTIARRYTHMICS, CLASS I AND III","Other antiarrhythmics, class I and III",vernakalant,QC,QC01,QC01B,QC01BG,QC01BG11
CARDIOVASCULAR SYSTEM,CARDIAC THERAPY,CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES,Adrenergic and dopaminergic agents,etilefrine,QC,QC01,QC01C,QC01CA,QC01CA01
CARDIOVASCULAR SYSTEM,CARDIAC THERAPY,CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES,Adrenergic and dopaminergic agents,isoprenaline,QC,QC01,QC01C,QC01CA,QC01CA02
CARDIOVASCULAR SYSTEM,CARDIAC THERAPY,CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES,Adrenergic and dopaminergic agents,norepinephrine,QC,QC01,QC01C,QC01CA,QC01CA03
CARDIOVASCULAR SYSTEM,CARDIAC THERAPY,CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES,Adrenergic and dopaminergic agents,dopamine,QC,QC01,QC01C,QC01CA,QC01CA04
CARDIOVASCULAR SYSTEM,CARDIAC THERAPY,CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES,Adrenergic and dopaminergic agents,norfenefrine,QC,QC01,QC01C,QC01CA,QC01CA05
CARDIOVASCULAR SYSTEM,CARDIAC THERAPY,CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES,Adrenergic and dopaminergic agents,phenylephrine,QC,QC01,QC01C,QC01CA,QC01CA06
CARDIOVASCULAR SYSTEM,CARDIAC THERAPY,CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES,Adrenergic and dopaminergic agents,dobutamine,QC,QC01,QC01C,QC01CA,QC01CA07
CARDIOVASCULAR SYSTEM,CARDIAC THERAPY,CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES,Adrenergic and dopaminergic agents,oxedrine,QC,QC01,QC01C,QC01CA,QC01CA08
