levelname_1,levelname_2,levelname_3,levelname_4,levelname_5,levelcode_1,levelcode_2,levelcode_3,levelcode_4,levelcode_5
IMMUNOLOGICALS,IMMUNOLOGICALS FOR AVES,DOMESTIC FOWL,Inactivated viral vaccines,avian infectious bursal (gumboro) disease virus,QI,QI01,QI01A,QI01AA,QI01AA01
IMMUNOLOGICALS,IMMUNOLOGICALS FOR AVES,DOMESTIC FOWL,Inactivated viral vaccines,newcastle disease virus/paramyxovirus,QI,QI01,QI01A,QI01AA,QI01AA02
IMMUNOLOGICALS,IMMUNOLOGICALS FOR AVES,DOMESTIC FOWL,Inactivated viral vaccines,avian infectious bronchitis virus,QI,QI01,QI01A,QI01AA,QI01AA03
IMMUNOLOGICALS,IMMUNOLOGICALS FOR AVES,DOMESTIC FOWL,Inactivated viral vaccines,avian reovirus,QI,QI01,QI01A,QI01AA,QI01AA04
IMMUNOLOGICALS,IMMUNOLOGICALS FOR AVES,DOMESTIC FOWL,Inactivated viral vaccines,avian adenovirus,QI,QI01,QI01A,QI01AA,QI01AA05
IMMUNOLOGICALS,IMMUNOLOGICALS FOR AVES,DOMESTIC FOWL,Inactivated viral vaccines,avian infectious bronchitis virus + avian infectious bursal (gumboro) disease virus + newcastle disease virus / paramyxovirus + avian rhinotracheitis virus,QI,QI01,QI01A,QI01AA,QI01AA06
IMMUNOLOGICALS,IMMUNOLOGICALS FOR AVES,DOMESTIC FOWL,Inactivated viral vaccines,avian infectious bronchitis virus + avian infectious bursal (gumboro) disease virus + newcastle disease virus / paramyxovirus + avian rhinotracheitis virus + avian adenovirus,QI,QI01,QI01A,QI01AA,QI01AA07
IMMUNOLOGICALS,IMMUNOLOGICALS FOR AVES,DOMESTIC FOWL,Inactivated viral vaccines,avian infectious bronchitis virus + avian infectious bursal (gumboro) disease virus + newcastle disease virus / paramyxovirus,QI,QI01,QI01A,QI01AA,QI01AA08
IMMUNOLOGICALS,IMMUNOLOGICALS FOR AVES,DOMESTIC FOWL,Inactivated viral vaccines,newcastle disease virus / paramyxovirus + avian infectious bursal (gumboro) disease virus + avian adenovirus,QI,QI01,QI01A,QI01AA,QI01AA09
IMMUNOLOGICALS,IMMUNOLOGICALS FOR AVES,DOMESTIC FOWL,Inactivated viral vaccines,avian infectious bronchitis virus + newcastle disease virus / paramyxovirus,QI,QI01,QI01A,QI01AA,QI01AA10
IMMUNOLOGICALS,IMMUNOLOGICALS FOR AVES,DOMESTIC FOWL,Inactivated viral vaccines,avian infectious bursal (gumboro) disease virus + newcastle disease virus / paramyxovirus,QI,QI01,QI01A,QI01AA,QI01AA11
IMMUNOLOGICALS,IMMUNOLOGICALS FOR AVES,DOMESTIC FOWL,Inactivated viral vaccines,newcastle disease virus / paramyxovirus + avian adenovirus,QI,QI01,QI01A,QI01AA,QI01AA12
IMMUNOLOGICALS,IMMUNOLOGICALS FOR AVES,DOMESTIC FOWL,Inactivated viral vaccines,newcastle disease virus / paramyxovirus + avian infectious bronchitis virus + avian adenovirus,QI,QI01,QI01A,QI01AA,QI01AA13
IMMUNOLOGICALS,IMMUNOLOGICALS FOR AVES,DOMESTIC FOWL,Inactivated viral vaccines,avian infectious bronchitis virus + avian adenovirus,QI,QI01,QI01A,QI01AA,QI01AA14
IMMUNOLOGICALS,IMMUNOLOGICALS FOR AVES,DOMESTIC FOWL,Inactivated viral vaccines,avian infectious bronchitis virus + avian infectious bursal (gumboro) disease virus,QI,QI01,QI01A,QI01AA,QI01AA15
IMMUNOLOGICALS,IMMUNOLOGICALS FOR AVES,DOMESTIC FOWL,Inactivated viral vaccines,avian infectious bronchitis virus + avian infectious bursal (gumboro) disease virus + newcastle disease virus / paramyxovirus + avian reovirus,QI,QI01,QI01A,QI01AA,QI01AA16
IMMUNOLOGICALS,IMMUNOLOGICALS FOR AVES,DOMESTIC FOWL,Inactivated viral vaccines,avian rhinotracheitis virus,QI,QI01,QI01A,QI01AA,QI01AA17
