levelname_1,levelname_2,levelname_3,levelname_4,levelname_5,levelcode_1,levelcode_2,levelcode_3,levelcode_4,levelcode_5
ANTIINFECTIVES FOR SYSTEMIC USE,ANTIBACTERIALS FOR SYSTEMIC USE,TETRACYCLINES,Tetracyclines,demeclocycline,QJ,QJ01,QJ01A,QJ01AA,QJ01AA01
ANTIINFECTIVES FOR SYSTEMIC USE,ANTIBACTERIALS FOR SYSTEMIC USE,TETRACYCLINES,Tetracyclines,doxycycline,QJ,QJ01,QJ01A,QJ01AA,QJ01AA02
ANTIINFECTIVES FOR SYSTEMIC USE,ANTIBACTERIALS FOR SYSTEMIC USE,TETRACYCLINES,Tetracyclines,chlortetracycline,QJ,QJ01,QJ01A,QJ01AA,QJ01AA03
ANTIINFECTIVES FOR SYSTEMIC USE,ANTIBACTERIALS FOR SYSTEMIC USE,TETRACYCLINES,Tetracyclines,lymecycline,QJ,QJ01,QJ01A,QJ01AA,QJ01AA04
ANTIINFECTIVES FOR SYSTEMIC USE,ANTIBACTERIALS FOR SYSTEMIC USE,TETRACYCLINES,Tetracyclines,metacycline,QJ,QJ01,QJ01A,QJ01AA,QJ01AA05
ANTIINFECTIVES FOR SYSTEMIC USE,ANTIBACTERIALS FOR SYSTEMIC USE,TETRACYCLINES,Tetracyclines,oxytetracycline,QJ,QJ01,QJ01A,QJ01AA,QJ01AA06
ANTIINFECTIVES FOR SYSTEMIC USE,ANTIBACTERIALS FOR SYSTEMIC USE,TETRACYCLINES,Tetracyclines,tetracycline,QJ,QJ01,QJ01A,QJ01AA,QJ01AA07
ANTIINFECTIVES FOR SYSTEMIC USE,ANTIBACTERIALS FOR SYSTEMIC USE,TETRACYCLINES,Tetracyclines,minocycline,QJ,QJ01,QJ01A,QJ01AA,QJ01AA08
ANTIINFECTIVES FOR SYSTEMIC USE,ANTIBACTERIALS FOR SYSTEMIC USE,TETRACYCLINES,Tetracyclines,rolitetracycline,QJ,QJ01,QJ01A,QJ01AA,QJ01AA09
ANTIINFECTIVES FOR SYSTEMIC USE,ANTIBACTERIALS FOR SYSTEMIC USE,TETRACYCLINES,Tetracyclines,penimepicycline,QJ,QJ01,QJ01A,QJ01AA,QJ01AA10
ANTIINFECTIVES FOR SYSTEMIC USE,ANTIBACTERIALS FOR SYSTEMIC USE,TETRACYCLINES,Tetracyclines,clomocycline,QJ,QJ01,QJ01A,QJ01AA,QJ01AA11
ANTIINFECTIVES FOR SYSTEMIC USE,ANTIBACTERIALS FOR SYSTEMIC USE,TETRACYCLINES,Tetracyclines,tigecycline,QJ,QJ01,QJ01A,QJ01AA,QJ01AA12
ANTIINFECTIVES FOR SYSTEMIC USE,ANTIBACTERIALS FOR SYSTEMIC USE,TETRACYCLINES,Tetracyclines,eravacycline,QJ,QJ01,QJ01A,QJ01AA,QJ01AA13
ANTIINFECTIVES FOR SYSTEMIC USE,ANTIBACTERIALS FOR SYSTEMIC USE,TETRACYCLINES,Tetracyclines,sarecycline,QJ,QJ01,QJ01A,QJ01AA,QJ01AA14
ANTIINFECTIVES FOR SYSTEMIC USE,ANTIBACTERIALS FOR SYSTEMIC USE,TETRACYCLINES,Tetracyclines,omadacycline,QJ,QJ01,QJ01A,QJ01AA,QJ01AA15
