levelname_1,levelname_2,levelname_3,levelname_4,levelname_5,levelcode_1,levelcode_2,levelcode_3,levelcode_4,levelcode_5
NERVOUS SYSTEM,ANESTHETICS,"ANESTHETICS, GENERAL",Ethers,diethyl ether,QN,QN01,QN01A,QN01AA,QN01AA01
NERVOUS SYSTEM,ANESTHETICS,"ANESTHETICS, GENERAL",Ethers,vinyl ether,QN,QN01,QN01A,QN01AA,QN01AA02
NERVOUS SYSTEM,ANESTHETICS,"ANESTHETICS, GENERAL",Halogenated hydrocarbons,halothane,QN,QN01,QN01A,QN01AB,QN01AB01
NERVOUS SYSTEM,ANESTHETICS,"ANESTHETICS, GENERAL",Halogenated hydrocarbons,chloroform,QN,QN01,QN01A,QN01AB,QN01AB02
NERVOUS SYSTEM,ANESTHETICS,"ANESTHETICS, GENERAL",Halogenated hydrocarbons,enflurane,QN,QN01,QN01A,QN01AB,QN01AB04
NERVOUS SYSTEM,ANESTHETICS,"ANESTHETICS, GENERAL",Halogenated hydrocarbons,trichloroethylene,QN,QN01,QN01A,QN01AB,QN01AB05
NERVOUS SYSTEM,ANESTHETICS,"ANESTHETICS, GENERAL",Halogenated hydrocarbons,isoflurane,QN,QN01,QN01A,QN01AB,QN01AB06
NERVOUS SYSTEM,ANESTHETICS,"ANESTHETICS, GENERAL",Halogenated hydrocarbons,desflurane,QN,QN01,QN01A,QN01AB,QN01AB07
NERVOUS SYSTEM,ANESTHETICS,"ANESTHETICS, GENERAL",Halogenated hydrocarbons,sevoflurane,QN,QN01,QN01A,QN01AB,QN01AB08
NERVOUS SYSTEM,ANESTHETICS,"ANESTHETICS, GENERAL","Barbiturates, plain",methohexital,QN,QN01,QN01A,QN01AF,QN01AF01
NERVOUS SYSTEM,ANESTHETICS,"ANESTHETICS, GENERAL","Barbiturates, plain",hexobarbital,QN,QN01,QN01A,QN01AF,QN01AF02
NERVOUS SYSTEM,ANESTHETICS,"ANESTHETICS, GENERAL","Barbiturates, plain",thiopental,QN,QN01,QN01A,QN01AF,QN01AF03
NERVOUS SYSTEM,ANESTHETICS,"ANESTHETICS, GENERAL","Barbiturates, plain",thiamylal,QN,QN01,QN01A,QN01AF,QN01AF90
NERVOUS SYSTEM,ANESTHETICS,"ANESTHETICS, GENERAL",Barbiturates in combination with other drugs,narcobarbital,QN,QN01,QN01A,QN01AG,QN01AG01
NERVOUS SYSTEM,ANESTHETICS,"ANESTHETICS, GENERAL",Opioid anesthetics,fentanyl,QN,QN01,QN01A,QN01AH,QN01AH01
NERVOUS SYSTEM,ANESTHETICS,"ANESTHETICS, GENERAL",Opioid anesthetics,alfentanil,QN,QN01,QN01A,QN01AH,QN01AH02
