levelname_1,levelname_2,levelname_3,levelname_4,levelname_5,levelcode_1,levelcode_2,levelcode_3,levelcode_4,levelcode_5
"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",ANTIPROTOZOALS,AGENTS AGAINST PROTOZOAL DISEASES,Nitroimidazole derivatives,metronidazole,QP,QP51,QP51A,QP51AA,QP51AA01
"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",ANTIPROTOZOALS,AGENTS AGAINST PROTOZOAL DISEASES,Nitroimidazole derivatives,tinidazole,QP,QP51,QP51A,QP51AA,QP51AA02
"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",ANTIPROTOZOALS,AGENTS AGAINST PROTOZOAL DISEASES,Nitroimidazole derivatives,ornidazole,QP,QP51,QP51A,QP51AA,QP51AA03
"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",ANTIPROTOZOALS,AGENTS AGAINST PROTOZOAL DISEASES,Nitroimidazole derivatives,azanidazole,QP,QP51,QP51A,QP51AA,QP51AA04
"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",ANTIPROTOZOALS,AGENTS AGAINST PROTOZOAL DISEASES,Nitroimidazole derivatives,propenidazole,QP,QP51,QP51A,QP51AA,QP51AA05
"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",ANTIPROTOZOALS,AGENTS AGAINST PROTOZOAL DISEASES,Nitroimidazole derivatives,nimorazole,QP,QP51,QP51A,QP51AA,QP51AA06
"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",ANTIPROTOZOALS,AGENTS AGAINST PROTOZOAL DISEASES,Nitroimidazole derivatives,dimetridazole,QP,QP51,QP51A,QP51AA,QP51AA07
"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",ANTIPROTOZOALS,AGENTS AGAINST PROTOZOAL DISEASES,Nitroimidazole derivatives,ronidazole,QP,QP51,QP51A,QP51AA,QP51AA08
"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",ANTIPROTOZOALS,AGENTS AGAINST PROTOZOAL DISEASES,Nitroimidazole derivatives,carnidazole,QP,QP51,QP51A,QP51AA,QP51AA09
"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",ANTIPROTOZOALS,AGENTS AGAINST PROTOZOAL DISEASES,Nitroimidazole derivatives,ipronidazole,QP,QP51,QP51A,QP51AA,QP51AA10
"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",ANTIPROTOZOALS,AGENTS AGAINST PROTOZOAL DISEASES,Antimony compounds,meglumine antimonate,QP,QP51,QP51A,QP51AB,QP51AB01
"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",ANTIPROTOZOALS,AGENTS AGAINST PROTOZOAL DISEASES,Antimony compounds,sodium stibogluconate,QP,QP51,QP51A,QP51AB,QP51AB02
"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",ANTIPROTOZOALS,AGENTS AGAINST PROTOZOAL DISEASES,Nitrofuran derivatives,nifurtimox,QP,QP51,QP51A,QP51AC,QP51AC01
"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",ANTIPROTOZOALS,AGENTS AGAINST PROTOZOAL DISEASES,Nitrofuran derivatives,nitrofural,QP,QP51,QP51A,QP51AC,QP51AC02
"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",ANTIPROTOZOALS,AGENTS AGAINST PROTOZOAL DISEASES,Arsenic compounds,arsthinol,QP,QP51,QP51A,QP51AD,QP51AD01
"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",ANTIPROTOZOALS,AGENTS AGAINST PROTOZOAL DISEASES,Arsenic compounds,difetarsone,QP,QP51,QP51A,QP51AD,QP51AD02
"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",ANTIPROTOZOALS,AGENTS AGAINST PROTOZOAL DISEASES,Arsenic compounds,glycobiarsol,QP,QP51,QP51A,QP51AD,QP51AD03
"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",ANTIPROTOZOALS,AGENTS AGAINST PROTOZOAL DISEASES,Arsenic compounds,melarsoprol,QP,QP51,QP51A,QP51AD,QP51AD04
"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",ANTIPROTOZOALS,AGENTS AGAINST PROTOZOAL DISEASES,Arsenic compounds,acetarsol,QP,QP51,QP51A,QP51AD,QP51AD05
"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",ANTIPROTOZOALS,AGENTS AGAINST PROTOZOAL DISEASES,Arsenic compounds,melarsamin,QP,QP51,QP51A,QP51AD,QP51AD06
"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",ANTIPROTOZOALS,AGENTS AGAINST PROTOZOAL DISEASES,Arsenic compounds,"glycobiarsol, combinations",QP,QP51,QP51A,QP51AD,QP51AD53
"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",ANTIPROTOZOALS,AGENTS AGAINST PROTOZOAL DISEASES,Carbanilides,imidocarb,QP,QP51,QP51A,QP51AE,QP51AE01
"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",ANTIPROTOZOALS,AGENTS AGAINST PROTOZOAL DISEASES,Carbanilides,suramin sodium,QP,QP51,QP51A,QP51AE,QP51AE02
"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",ANTIPROTOZOALS,AGENTS AGAINST PROTOZOAL DISEASES,Carbanilides,nicarbazine,QP,QP51,QP51A,QP51AE,QP51AE03
"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",ANTIPROTOZOALS,AGENTS AGAINST PROTOZOAL DISEASES,Aromatic diamidines,diminazen,QP,QP51,QP51A,QP51AF,QP51AF01
"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",ANTIPROTOZOALS,AGENTS AGAINST PROTOZOAL DISEASES,Aromatic diamidines,pentamidine,QP,QP51,QP51A,QP51AF,QP51AF02
"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",ANTIPROTOZOALS,AGENTS AGAINST PROTOZOAL DISEASES,Aromatic diamidines,phenamidine,QP,QP51,QP51A,QP51AF,QP51AF03
