levelname_1,levelname_2,levelname_3,levelname_4,levelname_5,levelcode_1,levelcode_2,levelcode_3,levelcode_4,levelcode_5
RESPIRATORY SYSTEM,NASAL PREPARATIONS,DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,"Sympathomimetics, plain",cyclopentamine,QR,QR01,QR01A,QR01AA,QR01AA02
RESPIRATORY SYSTEM,NASAL PREPARATIONS,DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,"Sympathomimetics, plain",ephedrine,QR,QR01,QR01A,QR01AA,QR01AA03
RESPIRATORY SYSTEM,NASAL PREPARATIONS,DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,"Sympathomimetics, plain",phenylephrine,QR,QR01,QR01A,QR01AA,QR01AA04
RESPIRATORY SYSTEM,NASAL PREPARATIONS,DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,"Sympathomimetics, plain",oxymetazoline,QR,QR01,QR01A,QR01AA,QR01AA05
RESPIRATORY SYSTEM,NASAL PREPARATIONS,DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,"Sympathomimetics, plain",tetryzoline,QR,QR01,QR01A,QR01AA,QR01AA06
RESPIRATORY SYSTEM,NASAL PREPARATIONS,DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,"Sympathomimetics, plain",xylometazoline,QR,QR01,QR01A,QR01AA,QR01AA07
RESPIRATORY SYSTEM,NASAL PREPARATIONS,DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,"Sympathomimetics, plain",naphazoline,QR,QR01,QR01A,QR01AA,QR01AA08
RESPIRATORY SYSTEM,NASAL PREPARATIONS,DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,"Sympathomimetics, plain",tramazoline,QR,QR01,QR01A,QR01AA,QR01AA09
RESPIRATORY SYSTEM,NASAL PREPARATIONS,DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,"Sympathomimetics, plain",metizoline,QR,QR01,QR01A,QR01AA,QR01AA10
RESPIRATORY SYSTEM,NASAL PREPARATIONS,DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,"Sympathomimetics, plain",tuaminoheptane,QR,QR01,QR01A,QR01AA,QR01AA11
RESPIRATORY SYSTEM,NASAL PREPARATIONS,DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,"Sympathomimetics, plain",fenoxazoline,QR,QR01,QR01A,QR01AA,QR01AA12
RESPIRATORY SYSTEM,NASAL PREPARATIONS,DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,"Sympathomimetics, plain",tymazoline,QR,QR01,QR01A,QR01AA,QR01AA13
RESPIRATORY SYSTEM,NASAL PREPARATIONS,DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,"Sympathomimetics, plain",epinephrine,QR,QR01,QR01A,QR01AA,QR01AA14
RESPIRATORY SYSTEM,NASAL PREPARATIONS,DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,"Sympathomimetics, plain",indanazoline,QR,QR01,QR01A,QR01AA,QR01AA15
RESPIRATORY SYSTEM,NASAL PREPARATIONS,DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,"Sympathomimetics, combinations excl. corticosteroids",phenylephrine,QR,QR01,QR01A,QR01AB,QR01AB01
RESPIRATORY SYSTEM,NASAL PREPARATIONS,DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,"Sympathomimetics, combinations excl. corticosteroids",naphazoline,QR,QR01,QR01A,QR01AB,QR01AB02
RESPIRATORY SYSTEM,NASAL PREPARATIONS,DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,"Sympathomimetics, combinations excl. corticosteroids",tetryzoline,QR,QR01,QR01A,QR01AB,QR01AB03
RESPIRATORY SYSTEM,NASAL PREPARATIONS,DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,"Sympathomimetics, combinations excl. corticosteroids",ephedrine,QR,QR01,QR01A,QR01AB,QR01AB05
RESPIRATORY SYSTEM,NASAL PREPARATIONS,DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,"Sympathomimetics, combinations excl. corticosteroids",xylometazoline,QR,QR01,QR01A,QR01AB,QR01AB06
RESPIRATORY SYSTEM,NASAL PREPARATIONS,DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,"Sympathomimetics, combinations excl. corticosteroids",oxymetazoline,QR,QR01,QR01A,QR01AB,QR01AB07
RESPIRATORY SYSTEM,NASAL PREPARATIONS,DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,"Sympathomimetics, combinations excl. corticosteroids",tuaminoheptane,QR,QR01,QR01A,QR01AB,QR01AB08
RESPIRATORY SYSTEM,NASAL PREPARATIONS,DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,"Antiallergic agents, excl. corticosteroids",cromoglicic acid,QR,QR01,QR01A,QR01AC,QR01AC01
RESPIRATORY SYSTEM,NASAL PREPARATIONS,DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,"Antiallergic agents, excl. corticosteroids",levocabastine,QR,QR01,QR01A,QR01AC,QR01AC02
RESPIRATORY SYSTEM,NASAL PREPARATIONS,DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,"Antiallergic agents, excl. corticosteroids",azelastine,QR,QR01,QR01A,QR01AC,QR01AC03
RESPIRATORY SYSTEM,NASAL PREPARATIONS,DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,"Antiallergic agents, excl. corticosteroids",antazoline,QR,QR01,QR01A,QR01AC,QR01AC04
RESPIRATORY SYSTEM,NASAL PREPARATIONS,DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,"Antiallergic agents, excl. corticosteroids",spaglumic acid,QR,QR01,QR01A,QR01AC,QR01AC05
RESPIRATORY SYSTEM,NASAL PREPARATIONS,DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,"Antiallergic agents, excl. corticosteroids",thonzylamine,QR,QR01,QR01A,QR01AC,QR01AC06
RESPIRATORY SYSTEM,NASAL PREPARATIONS,DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,"Antiallergic agents, excl. corticosteroids",nedocromil,QR,QR01,QR01A,QR01AC,QR01AC07
RESPIRATORY SYSTEM,NASAL PREPARATIONS,DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,"Antiallergic agents, excl. corticosteroids",olopatadine,QR,QR01,QR01A,QR01AC,QR01AC08
RESPIRATORY SYSTEM,NASAL PREPARATIONS,DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,"Antiallergic agents, excl. corticosteroids","cromoglicic acid, combinations",QR,QR01,QR01A,QR01AC,QR01AC51
RESPIRATORY SYSTEM,NASAL PREPARATIONS,DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,Corticosteroids,beclometasone,QR,QR01,QR01A,QR01AD,QR01AD01
RESPIRATORY SYSTEM,NASAL PREPARATIONS,DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,Corticosteroids,prednisolone,QR,QR01,QR01A,QR01AD,QR01AD02
RESPIRATORY SYSTEM,NASAL PREPARATIONS,DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,Corticosteroids,dexamethasone,QR,QR01,QR01A,QR01AD,QR01AD03
RESPIRATORY SYSTEM,NASAL PREPARATIONS,DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,Corticosteroids,flunisolide,QR,QR01,QR01A,QR01AD,QR01AD04
