levelname_1,levelname_2,levelname_3,levelname_4,levelname_5,levelcode_1,levelcode_2,levelcode_3,levelcode_4,levelcode_5
SENSORY ORGANS,OPHTHALMOLOGICALS,ANTIINFECTIVES,Antibiotics,chloramphenicol,QS,QS01,QS01A,QS01AA,QS01AA01
SENSORY ORGANS,OPHTHALMOLOGICALS,ANTIINFECTIVES,Antibiotics,chlortetracycline,QS,QS01,QS01A,QS01AA,QS01AA02
SENSORY ORGANS,OPHTHALMOLOGICALS,ANTIINFECTIVES,Antibiotics,neomycin,QS,QS01,QS01A,QS01AA,QS01AA03
SENSORY ORGANS,OPHTHALMOLOGICALS,ANTIINFECTIVES,Antibiotics,oxytetracycline,QS,QS01,QS01A,QS01AA,QS01AA04
SENSORY ORGANS,OPHTHALMOLOGICALS,ANTIINFECTIVES,Antibiotics,tyrothricin,QS,QS01,QS01A,QS01AA,QS01AA05
SENSORY ORGANS,OPHTHALMOLOGICALS,ANTIINFECTIVES,Antibiotics,framycetin,QS,QS01,QS01A,QS01AA,QS01AA07
SENSORY ORGANS,OPHTHALMOLOGICALS,ANTIINFECTIVES,Antibiotics,tetracycline,QS,QS01,QS01A,QS01AA,QS01AA09
SENSORY ORGANS,OPHTHALMOLOGICALS,ANTIINFECTIVES,Antibiotics,natamycin,QS,QS01,QS01A,QS01AA,QS01AA10
SENSORY ORGANS,OPHTHALMOLOGICALS,ANTIINFECTIVES,Antibiotics,gentamicin,QS,QS01,QS01A,QS01AA,QS01AA11
SENSORY ORGANS,OPHTHALMOLOGICALS,ANTIINFECTIVES,Antibiotics,tobramycin,QS,QS01,QS01A,QS01AA,QS01AA12
SENSORY ORGANS,OPHTHALMOLOGICALS,ANTIINFECTIVES,Antibiotics,fusidic acid,QS,QS01,QS01A,QS01AA,QS01AA13
SENSORY ORGANS,OPHTHALMOLOGICALS,ANTIINFECTIVES,Antibiotics,benzylpenicillin,QS,QS01,QS01A,QS01AA,QS01AA14
SENSORY ORGANS,OPHTHALMOLOGICALS,ANTIINFECTIVES,Antibiotics,dihydrostreptomycin,QS,QS01,QS01A,QS01AA,QS01AA15
SENSORY ORGANS,OPHTHALMOLOGICALS,ANTIINFECTIVES,Antibiotics,rifamycin,QS,QS01,QS01A,QS01AA,QS01AA16
SENSORY ORGANS,OPHTHALMOLOGICALS,ANTIINFECTIVES,Antibiotics,erythromycin,QS,QS01,QS01A,QS01AA,QS01AA17
SENSORY ORGANS,OPHTHALMOLOGICALS,ANTIINFECTIVES,Antibiotics,polymyxin B,QS,QS01,QS01A,QS01AA,QS01AA18
SENSORY ORGANS,OPHTHALMOLOGICALS,ANTIINFECTIVES,Antibiotics,ampicillin,QS,QS01,QS01A,QS01AA,QS01AA19
SENSORY ORGANS,OPHTHALMOLOGICALS,ANTIINFECTIVES,Antibiotics,antibiotics in combination with other drugs,QS,QS01,QS01A,QS01AA,QS01AA20
SENSORY ORGANS,OPHTHALMOLOGICALS,ANTIINFECTIVES,Antibiotics,amikacin,QS,QS01,QS01A,QS01AA,QS01AA21
SENSORY ORGANS,OPHTHALMOLOGICALS,ANTIINFECTIVES,Antibiotics,micronomicin,QS,QS01,QS01A,QS01AA,QS01AA22
SENSORY ORGANS,OPHTHALMOLOGICALS,ANTIINFECTIVES,Antibiotics,netilmicin,QS,QS01,QS01A,QS01AA,QS01AA23
SENSORY ORGANS,OPHTHALMOLOGICALS,ANTIINFECTIVES,Antibiotics,kanamycin,QS,QS01,QS01A,QS01AA,QS01AA24
SENSORY ORGANS,OPHTHALMOLOGICALS,ANTIINFECTIVES,Antibiotics,azidamfenikol,QS,QS01,QS01A,QS01AA,QS01AA25
SENSORY ORGANS,OPHTHALMOLOGICALS,ANTIINFECTIVES,Antibiotics,azithromycin,QS,QS01,QS01A,QS01AA,QS01AA26
SENSORY ORGANS,OPHTHALMOLOGICALS,ANTIINFECTIVES,Antibiotics,cefuroxime,QS,QS01,QS01A,QS01AA,QS01AA27
SENSORY ORGANS,OPHTHALMOLOGICALS,ANTIINFECTIVES,Antibiotics,vancomycin,QS,QS01,QS01A,QS01AA,QS01AA28
SENSORY ORGANS,OPHTHALMOLOGICALS,ANTIINFECTIVES,Antibiotics,combinations of different antibiotics,QS,QS01,QS01A,QS01AA,QS01AA30
