levelname_1,levelname_2,levelname_3,levelname_4,levelname_5,levelcode_1,levelcode_2,levelcode_3,levelcode_4,levelcode_5
VARIOUS,ALLERGENS,ALLERGENS,Allergen extracts,feather,QV,QV01,QV01A,QV01AA,QV01AA01
VARIOUS,ALLERGENS,ALLERGENS,Allergen extracts,grass pollen,QV,QV01,QV01A,QV01AA,QV01AA02
VARIOUS,ALLERGENS,ALLERGENS,Allergen extracts,house dust mites,QV,QV01,QV01A,QV01AA,QV01AA03
VARIOUS,ALLERGENS,ALLERGENS,Allergen extracts,mould fungus and yeast fungus,QV,QV01,QV01A,QV01AA,QV01AA04
VARIOUS,ALLERGENS,ALLERGENS,Allergen extracts,tree pollen,QV,QV01,QV01A,QV01AA,QV01AA05
VARIOUS,ALLERGENS,ALLERGENS,Allergen extracts,insects,QV,QV01,QV01A,QV01AA,QV01AA07
VARIOUS,ALLERGENS,ALLERGENS,Allergen extracts,foods,QV,QV01,QV01A,QV01AA,QV01AA08
VARIOUS,ALLERGENS,ALLERGENS,Allergen extracts,textiles,QV,QV01,QV01A,QV01AA,QV01AA09
VARIOUS,ALLERGENS,ALLERGENS,Allergen extracts,flowers,QV,QV01,QV01A,QV01AA,QV01AA10
VARIOUS,ALLERGENS,ALLERGENS,Allergen extracts,animals,QV,QV01,QV01A,QV01AA,QV01AA11
VARIOUS,ALLERGENS,ALLERGENS,Allergen extracts,various,QV,QV01,QV01A,QV01AA,QV01AA20
VARIOUS,ALL OTHER THERAPEUTIC PRODUCTS,ALL OTHER THERAPEUTIC PRODUCTS,Antidotes,ipecacuanha,QV,QV03,QV03A,QV03AB,QV03AB01
VARIOUS,ALL OTHER THERAPEUTIC PRODUCTS,ALL OTHER THERAPEUTIC PRODUCTS,Antidotes,nalorphine,QV,QV03,QV03A,QV03AB,QV03AB02
VARIOUS,ALL OTHER THERAPEUTIC PRODUCTS,ALL OTHER THERAPEUTIC PRODUCTS,Antidotes,edetates,QV,QV03,QV03A,QV03AB,QV03AB03
VARIOUS,ALL OTHER THERAPEUTIC PRODUCTS,ALL OTHER THERAPEUTIC PRODUCTS,Antidotes,pralidoxime,QV,QV03,QV03A,QV03AB,QV03AB04
VARIOUS,ALL OTHER THERAPEUTIC PRODUCTS,ALL OTHER THERAPEUTIC PRODUCTS,Antidotes,prednisolone and promethazine,QV,QV03,QV03A,QV03AB,QV03AB05
VARIOUS,ALL OTHER THERAPEUTIC PRODUCTS,ALL OTHER THERAPEUTIC PRODUCTS,Antidotes,thiosulfate,QV,QV03,QV03A,QV03AB,QV03AB06
VARIOUS,ALL OTHER THERAPEUTIC PRODUCTS,ALL OTHER THERAPEUTIC PRODUCTS,Antidotes,sodium nitrite,QV,QV03,QV03A,QV03AB,QV03AB08
VARIOUS,ALL OTHER THERAPEUTIC PRODUCTS,ALL OTHER THERAPEUTIC PRODUCTS,Antidotes,dimercaprol,QV,QV03,QV03A,QV03AB,QV03AB09
VARIOUS,ALL OTHER THERAPEUTIC PRODUCTS,ALL OTHER THERAPEUTIC PRODUCTS,Antidotes,obidoxime,QV,QV03,QV03A,QV03AB,QV03AB13
VARIOUS,ALL OTHER THERAPEUTIC PRODUCTS,ALL OTHER THERAPEUTIC PRODUCTS,Antidotes,protamine,QV,QV03,QV03A,QV03AB,QV03AB14
VARIOUS,ALL OTHER THERAPEUTIC PRODUCTS,ALL OTHER THERAPEUTIC PRODUCTS,Antidotes,naloxone,QV,QV03,QV03A,QV03AB,QV03AB15
VARIOUS,ALL OTHER THERAPEUTIC PRODUCTS,ALL OTHER THERAPEUTIC PRODUCTS,Antidotes,ethanol,QV,QV03,QV03A,QV03AB,QV03AB16
VARIOUS,ALL OTHER THERAPEUTIC PRODUCTS,ALL OTHER THERAPEUTIC PRODUCTS,Antidotes,methylthioninium chloride,QV,QV03,QV03A,QV03AB,QV03AB17
VARIOUS,ALL OTHER THERAPEUTIC PRODUCTS,ALL OTHER THERAPEUTIC PRODUCTS,Antidotes,potassium permanganate,QV,QV03,QV03A,QV03AB,QV03AB18
VARIOUS,ALL OTHER THERAPEUTIC PRODUCTS,ALL OTHER THERAPEUTIC PRODUCTS,Antidotes,physostigmine,QV,QV03,QV03A,QV03AB,QV03AB19
VARIOUS,ALL OTHER THERAPEUTIC PRODUCTS,ALL OTHER THERAPEUTIC PRODUCTS,Antidotes,copper sulfate,QV,QV03,QV03A,QV03AB,QV03AB20
VARIOUS,ALL OTHER THERAPEUTIC PRODUCTS,ALL OTHER THERAPEUTIC PRODUCTS,Antidotes,potassium iodide,QV,QV03,QV03A,QV03AB,QV03AB21
VARIOUS,ALL OTHER THERAPEUTIC PRODUCTS,ALL OTHER THERAPEUTIC PRODUCTS,Antidotes,amyl nitrite,QV,QV03,QV03A,QV03AB,QV03AB22
VARIOUS,ALL OTHER THERAPEUTIC PRODUCTS,ALL OTHER THERAPEUTIC PRODUCTS,Antidotes,acetylcysteine,QV,QV03,QV03A,QV03AB,QV03AB23
VARIOUS,ALL OTHER THERAPEUTIC PRODUCTS,ALL OTHER THERAPEUTIC PRODUCTS,Antidotes,digitalis antitoxin,QV,QV03,QV03A,QV03AB,QV03AB24
VARIOUS,ALL OTHER THERAPEUTIC PRODUCTS,ALL OTHER THERAPEUTIC PRODUCTS,Antidotes,flumazenil,QV,QV03,QV03A,QV03AB,QV03AB25
VARIOUS,ALL OTHER THERAPEUTIC PRODUCTS,ALL OTHER THERAPEUTIC PRODUCTS,Antidotes,methionine,QV,QV03,QV03A,QV03AB,QV03AB26
VARIOUS,ALL OTHER THERAPEUTIC PRODUCTS,ALL OTHER THERAPEUTIC PRODUCTS,Antidotes,4-dimethylaminophenol,QV,QV03,QV03A,QV03AB,QV03AB27
VARIOUS,ALL OTHER THERAPEUTIC PRODUCTS,ALL OTHER THERAPEUTIC PRODUCTS,Antidotes,cholinesterase,QV,QV03,QV03A,QV03AB,QV03AB29
VARIOUS,ALL OTHER THERAPEUTIC PRODUCTS,ALL OTHER THERAPEUTIC PRODUCTS,Antidotes,prussian blue,QV,QV03,QV03A,QV03AB,QV03AB31
VARIOUS,ALL OTHER THERAPEUTIC PRODUCTS,ALL OTHER THERAPEUTIC PRODUCTS,Antidotes,glutathione,QV,QV03,QV03A,QV03AB,QV03AB32
VARIOUS,ALL OTHER THERAPEUTIC PRODUCTS,ALL OTHER THERAPEUTIC PRODUCTS,Antidotes,hydroxocobalamine,QV,QV03,QV03A,QV03AB,QV03AB33
VARIOUS,ALL OTHER THERAPEUTIC PRODUCTS,ALL OTHER THERAPEUTIC PRODUCTS,Antidotes,fomepizole,QV,QV03,QV03A,QV03AB,QV03AB34
VARIOUS,ALL OTHER THERAPEUTIC PRODUCTS,ALL OTHER THERAPEUTIC PRODUCTS,Antidotes,sugammadeks,QV,QV03,QV03A,QV03AB,QV03AB35
VARIOUS,ALL OTHER THERAPEUTIC PRODUCTS,ALL OTHER THERAPEUTIC PRODUCTS,Antidotes,phentolamin,QV,QV03,QV03A,QV03AB,QV03AB36
VARIOUS,ALL OTHER THERAPEUTIC PRODUCTS,ALL OTHER THERAPEUTIC PRODUCTS,Antidotes,idarucizumab,QV,QV03,QV03A,QV03AB,QV03AB37
VARIOUS,ALL OTHER THERAPEUTIC PRODUCTS,ALL OTHER THERAPEUTIC PRODUCTS,Antidotes,andexanet alfa,QV,QV03,QV03A,QV03AB,QV03AB38
VARIOUS,ALL OTHER THERAPEUTIC PRODUCTS,ALL OTHER THERAPEUTIC PRODUCTS,Antidotes,atipamezole,QV,QV03,QV03A,QV03AB,QV03AB90
VARIOUS,ALL OTHER THERAPEUTIC PRODUCTS,ALL OTHER THERAPEUTIC PRODUCTS,Antidotes,sarmazenil,QV,QV03,QV03A,QV03AB,QV03AB91
VARIOUS,ALL OTHER THERAPEUTIC PRODUCTS,ALL OTHER THERAPEUTIC PRODUCTS,Antidotes,diprenorfin,QV,QV03,QV03A,QV03AB,QV03AB92
VARIOUS,ALL OTHER THERAPEUTIC PRODUCTS,ALL OTHER THERAPEUTIC PRODUCTS,Antidotes,yohimbine,QV,QV03,QV03A,QV03AB,QV03AB93
VARIOUS,ALL OTHER THERAPEUTIC PRODUCTS,ALL OTHER THERAPEUTIC PRODUCTS,Antidotes,tolazoline,QV,QV03,QV03A,QV03AB,QV03AB94
VARIOUS,ALL OTHER THERAPEUTIC PRODUCTS,ALL OTHER THERAPEUTIC PRODUCTS,Antidotes,apomorphine,QV,QV03,QV03A,QV03AB,QV03AB95
